Index,Group Name,Fractal Name,Pass/Fail,Notes,Center X,Center Y,X Scale Width,Y Scale Width
56,Exotic,Quasi-Perpendicular,Pass,,-0.80,-0.50,4.1439368853E+00,2.3309644980E+00
57,Exotic,Shark Fin,Pass,,-0.50,0.00,2.6060913706E+00,1.4659263959E+00
58,Exotic,Wavy,Pass,looks like a plain Mandelbrot,,,,
59,Exotic,Zubieta,Pass,,0.00,0.00,5.1202902653E-01,2.8801632742E-01
60,Exotic Fractals,Magnet I,Pass,,-0.50,0.00,2.6060913706E+00,1.4659263959E+00
61,Exotic Fractals,Magnet II,Pass,,,,,
62,Exotic Fractals,Phoenix Fractal,Pass,,-0.50,0.00,4.2624553487E+00,2.3976311330E+00
63,Exponential Fractals,Complex Power,Pass,,0.50,0.00,3.0000000000E+00,1.6875000000E+00
64,Exponential Fractals,Exponential Julia,Pass,,,,,
65,Exponential Fractals,Exponential Mandelbrot,Pass,,-1.00,0.00,2.0000000000E+01,1.1250000000E+01
66,Exponential Fractals,Exponential Square,Pass,,,,,
67,Exponential Fractals,Lambda Lambda Esponential,Pass,,-2.50,0.00,1.2000000000E+01,6.7500000000E+00
68,Exponential Fractals,Lambda Mandel Exponential,Pass,,0.00,0.00,3.7377883029E+01,2.1025059204E+01
69,Exponential Fractals,Logarithm Fractal,Pass,green meteor,0.88,0.00,3.7500000000E-01,2.1093750000E-01
70,Exponential Fractals,Logarithmic Mandelbrot,Pass,green earthworm,0.24,-0.30,1.9350213898E+00,1.0884495317E+00
71,Exponential Fractals,Mandelbrot Exponential,Pass,,-1.75,0.00,3.0000000000E+00,1.6875000000E+00
72,Exponential Fractals,Power Tower (z^z),Pass,,0.75,0.00,2.6095097916E+00,1.4678492578E+00
73,Exponential Fractals,z^z + c,Pass,,0.50,0.00,1.5000000000E+00,8.4375000000E-01
74,Historical Fractals,Chip Map,Pass,,,,,
75,Historical Fractals,Collatz Fractal,Pass,,,,,
76,Historical Fractals,Duffing Map,Pass,,0.00,0.00,6.7677102075E+00,3.8068369917E+00
77,Historical Fractals,MartinMap,Pass,,0.00,0.00,4.4266476250E+02,2.4899892891E+02
78,Historical Fractals,Pickover Biomorphs,Pass,yet another Mandelbrot,,,,
79,Historical Fractals,Pickover Stalks,Pass,,-0.75,0.00,3.9272543838E+00,2.2090805910E+00
80,Historical Fractals,Quaternion Julia (2D slice),Pass,,,,,
81,Historical Fractals,Sinusoidal Fractal,Pass,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
